문장,clean
엔두스타일! 엔 엔 엔 엔 엔! 엔두스타일~!,1
기도가 뭐 그렇게 대단하다고,1
ㅇㅊㅇㅊㅇ 베스트가라~!,1
문프발 5G 바이러스가 사실이었노 ㅋㅋㅋ,1
여대를 없애라 여대가 왜 있는지 이해가 안감,1
내 스탈이야 ♡,1
이거 생각해보니 진짜 투신자살일까 하는 생각이 드노.. 강간하려다가 밀어서 떨어트린거 아니노...?,1
역시 불의 도시. 마 갱상도 싸나이 뜨급다 아이가.,1
손정우는 미국에 보내지도 않고 이런건 공조 요청하고ㅋㅋㅋㅋ 결과 나오면 그것도 꼭 기사로 크게크게 써주시길..🙏 손동작부터 해서 해외에 널리널리 알려지는구나,1
사전 오프모임은 할 필요도 없고,1
장미칼 미만잡,1
나도 여잔데 찬성 ㅎㅎ 신체적으로 차이는 있기때문에 행정이나 취사병처럼 군인 지원하는 쪽으로라도 해야한다고 봄..,1
근데 고경표 군대 간다고 snl 하차한거 아니었냐?,1
고딩때는 공부만했냐?ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
숫비둘기 워친련ㅋㅋㅋ,1
알수없는 우울감 적절하노ㅋㄱㅋㅋ,1
Gs 잘알앗어~ 안산다,1
아니 그전에 범죄 저지른게 누군데ㅋㅋ 뇌는 장식임?ㅋㅋㅋㅋㅋㅋ,1
저거에 목숨걸지 말고 약사면 다른 먹거리 찾아야 할지도 모름. 미국에서는 이미 약사가 하는일 기계가 하고 있다. 미래는 생각보다 멀지않다,1
연봉 수십억을 버리겠나?,1
이쯤에서 팩트체킹,1
ㅎㄹㅆ ㅇㄷㅃ,1
운전면허 없다 운전면허 따게 지원해주냐? 내 한몸 바치겠다,1
중국 살면 심심하지는 않겠다,1
구상권 무조권 청구,1
아직도 처 놀러가는거 보면 속에 천불이난다,1
물리학자 장애인이 3명이나 되네,1
이게 왜 차금법이랑 연결이 되는지 이해안되는건 저뿐인가요???,1
나이 한 50 먹어서 자식들이랑 보면 개꿀이겠네,1
PTSD = 외상 후 스트레스 장애 충격 받은 일이 있어서 그 뒤로 그 비슷한 것만 봐도 머릿속 경고등이 군무 빼액빼액 울리기 때문에 정상적이고 여유로운 사고를 못 하게 되는 심리상태를 말하노,1
서현 응원하노,1
근데 세월호드립은 진짜로 웃겨서 ㅋㅋㅋ 남발하는거냐?저게 웃기면 진짜 사회생활 못할정도일탠데,1
심지어 여성분이 더 나이 많아보여요.,1
답을알려줌 공수처는 중국 북한에만 있다 저거보면 딱 알겠지???ㅋㅋㅋㅋ,1
깨닫는거지 공부하는게 아니노,1
코로나19 팬데믹 황폐화된 세상을 예수그리스도의 생명의 복음으로 녹색화하자,1
순수한 풀스윙,1
무조건 이해하라고 하는것도 폭력이지,1
백신개발에 박차를 가하는 좋은 소식이네요  하루속히 코로나의 위협으로 부터 안전해질 그날이 오길 기대합니다 대한민국 홧팅입니다!!!,1
"작은 물방울 하나하나가 모여 푸른 강물을 이루고, 모래 한 알 한 알이 모여 은빛 사막을 이루며, 별 하나하나가 모여 은하수를 이루듯  한국교회 연합기관이 하나되어 원메세지 원리더쉽으로 힘을 모아 부흥의 전성기를 맞이하게되길 기도합니다",1
맞노 니 말 다 받고 웜년들끼리 꾸준히 논의하고 상의해야 할 새 논제라고 생각하노 또 이것이 웜년들 사이에 자연스럽게 녹아들어야 하노 의미없는 플로우는 흘려보내고 니가 말한 네 가지 주제들이 플로우로 자리잡아야 하노 더 생각하고 나도 글 써봐야겠노,1
찜방이 익숙하고 좋제^오^,1
근데 피쟈게이 그 글 이후로 댓글도 안달고 글도 안씀 잠수탄거같은데?,1
힝. 불쌍해.,1
아니 근데 원래 군대 한국국적이어도 외국인외모면 면제시켜주지않나?,1
여자라서 부럽다,1
고민되는 정의 든든한 뒷빽이 삶은소대가리이라잖여 그러니 그나물에 그밥인데~개나 소나 미쳐나는 총선 제대로 찍어야 자유를 지킨다~,1
GS가 고소한다고 합니다. 고소안당하게 조심하면서 불매하세요.,1
이제 겨우 결혼하는 노총각인데 만약 꽃뱀이면 진짜 슬프겠다 진짜라면 뭐 망한거고,1
미국은 교통사고나 단순폭력도 얼굴 깐다. 범죄자는 인격 무시하는거 감안하고 범죄 저지르는겨.,1
나 뉴질랜드 사는데,1
요즘은 이민수속을 구청에서 하냐? ㅋㅋ,1
두번째 내스탈이얌ㅎㅎ,1
자살을유ㅐ하냐,1
히잡을 쓴 페미니스트의 모습이다,1
자기돈으로 갈 생각은 없는건가?,1
현기 준중형급 중형급이네 딱봐도 저정도도 컨트롤이 안되는거보니 스팅어랑 지칠공 제외 솔직히 쉐보레 말리부도 저정도는 커버침,1
ㅋㅋㅋㅋㅋㅋㅋㅋ 집에서만 게임하면 안전하다 이기야!,1
1일에 3천??? 사건터지고 준거아님??? 왜 한꺼번에 몰아줬지??,1
사병 50:50은 말은 없냐?,1
백퍼 그럴거다,1
가리고 있어서 안보이노,1
찬수야 정신차려라,1
ㅇㅇ발 ㅇㅇ때문에...  라고 하기엔 지하철 식당 카페 극장 휴양지 학원 술집.. 가는 곳마다 사람많았는데..  이렇게 기사쓰고 사람들 욕하니 속이 후련하시겠습니다. 하지만...,1
마인드라도 좋던가.,1
성님 호르몬 맞았노 충성^^7,1
나련도 관에서 윾입되서 관에 웜글 가끔 퍼다나르면 0.69초만에 삭제되는 쀼젤,1
갓럼프보소..,1
우와 명문중의 명문이다 ㅋㅋㅋㅋ,1
중딩 말고는 잘 없어요ㅋㅋ 정신승리 계속 하세요ㅎㅎ,1
강용석이 말을 저렇게 해서 그렇지사실 어떻게보면 맞는말 아니냐,1
개학을 안했으면 같은반아이들 부모들은 안전할거 아닌가?,1
엑스맥스로 업글하자,1
진짜 저건 너무했다ㅋㅋ,1
요즘 6살이면 알거 다 알지,1
이거 날조자료라 욕먹기 딱 좋은 건데,1
폰으로 작게보다가 황세미 폭파원으로 봤네ㄷㄷ,1
"고작 10위밖에 안되나?보니까 고위직 여성비율 영향도 있어보이는데이거, 차별이 아니라 남성의존 때문이라는한국의 내부사정을 알아야한다.이거 반영되면 난 1위 찍는다고 본다.",1
너는 아니지~ 왜그렇게 예민해 ㅋㅋㅋㅋ 웃챙,1
우디르 잘할듯,1
판검사 공부한분들은 이런사람위해 잘쓰길... 그 아내랑 동생이 제일악질인듯,1
임신한거아님?,1
네 대한민국 콜센터 입니다,1
한국교회가는 지금 혹독한 빙하기를 맞고 있는것같아요.퍼스트 펭귄처럼 한교총을 중심으로 서로 연합하고 사랑으로 이겨내길바랍니다.,1
2항이아니라 3항인데,1
깜빵에 같힌 모습 졸라 멋지노.,1
다행히 분당은 아니네,1
경상도 여자 만나고 싶노...,1
아싸~~헬렐레야~~,1
맹모삼천지교....,1
그러네 경북인데 창문열어보니 집안보다 따뜻하노,1
이거 성차별 아니노 빼애애애액~!!!,1
or 있으므로O,1
마니 친구냐??,1
이슬람과 무슬림으로 인한 문제점만 보지 마시고 왜 그들이 이슬람을 믿고 사는지 한 번 알아보는 것도 좋을듯 합니다 제 생각엔 분명 뭔가가 있습니다 교회나 성당가고 절에 다니는 사람들처럼 그들에게도 이슬람이 뭔가 의미 있기에 믿겠죠,1
박원순이 기획했다고 보면 마즘...참여연대 정보력,1
이만갑에 나왔던 목사네,1
닉존나 커여운대 왜그렛냐 안다갑다,1
3일 전요. 딱 3일. 소문이 퍼지는 기간과 해명의 기회를 주지 않을 수 있는 기간이라 11 일~12 일 나올 가능성이 클겁니다.,1
봐라 애들아.,1
아웃라이어 읽었나,1
"의학적지식이 얼마나 있는지 모르겠지만, 선 무당의 말이 이렇게 언론에 타는 게 그리 좋아 보이지 않네요",1
고소 당하고 빨간줄 그어져도 정신슨리 할 수 있으려나?,1
아 입이 근질근질한데,1
3700?? 너무 과한디...,1
박시장은 어쨌든 죄가 없다고 해라 그게 더불당 입장 이라는거   말안해도 안다,1
애초에.착불 안한다면 진행을 말았어야..,1
미국에서 아동성범죄 징역이면 17년이 아니라 1년이라도 못살고 나온다. 범죄자들 사이에도 제일 악한놈으로 쳐서 죄수들이 오히려 조용한데 끌고가서 패죽임.,1
행복하게 사셨으면 좋겠어요.,1
야 저거 현대차 포터키 아니냐,1
자 이제 5천만원 들인 얼굴을 좀 보여줘봐라,1
식당도 식당인데 데드풀 친구랑 보러갔는데 옆에서 뽀로로 틀어주던 옆자리 생각난다.....파스슷.....,1
캬 적폐청산 드디어 시작하노 이니,1
우리 보영이외에는 관심없다,1
레알이긴함ㅋㅋ,1
봤는데 여자 흑발 존나 예쁨,1
또 아니면 모... 알고 들어간거 맞죠?... 대박이든 쪽박이든 결과도 스스로 다 가지시면 됩니다...,1
나 신혼여행 핀란드로 다녀왔는데 존나 좋았는데 인종차별도 없었고 존나 친절하던데;;,1
김하나 이시키 집에가면 벤틀리 주차 되있겟네 ㅋㅋㅋ,1
정게 어르신들 화났다 이기야,1
참 안타깝다,1
저분 진심 국가요인이자 북한이 제일 벼르고있는인물이지 싶다 진짜 철통경호 해드려야된다,1
임신했다는게 더 신기하네,1
와 야애니 그리면 대성하겠다.,1
글쓴이의 고향이 바뀔지도 모릅니다,1
그렇다고 또 일게이들 좌좀 산업화한답시고 일베링크 고대로 퍼가지마라,1
정육점 갔더니 원산지:한국산 이거떠있겠네,1
저런데 홍보할 돈으로 생계 유지해야하는 거 아니노?ㅋㅋㅋ,1
하느님이 당신들이 예배안한다고 뭐라하실 존재가 아니다,1
Tongue,1
저런단체가 있는게놀랍다,1
실친 웜에서 만난것도좆목이노?? 글삭 ㄱ?,1
무슨 수익률을 1년가지고만 하냐 ㅋㅋㅋㅋ최소 10년은 봐야지,1
일관된진술 하나면 유죄확정인데 참고인이 필요하냐 ㄹㅇ ㅋㅋ,1
냅도 하면 안돼?,1
슴기고 싶은 과거를 왜 자꾸 들춰내노 시바꺼역사는 지어내는거다. 역사는 승리자의것이고과거는 과거일뿐,1
그럼ㅋㅋ 절대 안 넣어야지ㅋㅋㅋㅋ,1
"그래 우파는 너무 솔직해서 문제고 좌는 반대라 문제지,흥미로운데",1
애조에 남자둘이 영화보러 가는게 희박한데 저딴 영화를 보러가자고??ㅋㅋㅋ,1
다행히도 시간이 약2~3년은 남은 것같다 2~3년내로 언제든지 튈준비 하고 기다리다 미군이 떠날 때 떠나면 된다 미군이 떠나는 때가 2~3년 남았다,1
생각해보니 전문직 종사하는 여성분이 입는 유니폼들 허리라인 딱 붙고 위에 셔츠는 엄청 타이트 교복도 줄여서 나오고 있고 업무볼때 넘나 불편하겠다...,1
말하는거 보니 주차해도 되겠다,1
"지금 무사한게 문제가 이니라 앞으로 학대할거 같은데, 감시 잘 해야 애가 무사할텐데....",1
"이슬람도 평화 기독교도 평화 불교도 평화 맞습니다 다만, 그렇지 않은 기독교인, 이슬람, 불교인도 많은거죠",1
내가 저 마티즈 만드는 창원공장 게이인데 이제 아지매들 운전해서 퇴근하면 재끼고 내가 먼저 가야겠당,1
"진선미 장관이 엄중한 경고로 받으라는건 동의하지 못하지만 워딩선택에 불필요한 오해의 소지는 아예 만들지 말자는의미라면 충분할것같고, 나머지 부분은 격하게 공감합니다",1
이런거보면 진짜 젊은 탈북ㄴㅕ들은 ㄱㄱ 오지게당했을듯,1
물랑루즈 개꿀,1
어이없군. 뭔 앙금을 남겨? 악의적인 제목 보소,1
무조건 대법원 갈것같은데대법원 가서 부정선거 명백하게 못밝히면 질 듯,1
ㅋㅋㅋㅋㅋㅋ2베,1
이딴 앵나오는 소설을 학교에서는 가르치노 대체 여기서 뭘 공부하란 말이노,1
정당하지 않은 댓가와 제도를 요구한다면 정치적 세력의 노조라면 한치도 물러나지 말고 요구에 응해서는 되지 않는다 노조는 정치관계 없이 정당할 때 그 의미가 있음이다,1
"감동하는 ㅁㅊㅇ가 많다는 것이 놀라운 일이다. 딱봐도 아저씨가 수지닮은 여고생 먹고 싶다는 거잖아. 근데 저 알바는 ""내가 먹고 싶은데 미쳤다고 소개해주나!"" 이런 마음을 품고 있으니 보고서도 아예 대꾸를 안하고 있는 것임.",1
어흐흥... 날 가져요~,1
돋보기프리즘 봊나 웃기놐ㅋㅋㅋㅋ,1
요금징수원 다 없애도 된다 기술이 안되는것도 아니고 너네 일자리 지켜줄려고 불편 감수하고 톨게이트 운영하는건데,1
진용진이 저번에 무슨 스토커 사건 터진 그애야?,1
피해자의 말이 증거입니다,1
호남이 원래 곡창지대고 해서 인구 존나 많았으니가 호남 비율이 높긴 높제,1
인터넷 초창기에 개초딩,1
그럼 요구르트 아줌씨,1
솔직히 n번방이랑 코로나는 정보 접근자체가 달라서그래. 코로나는 현실인데  번방은 이번에 알게된게 대다수라,1
저건 회충 비벼논거여 시방??으따 그넘들 실하구마잉,1
대체 뭔 논리회로길래 미국 두둔했더니 친일논리가 나오는지ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
이십대 남청년이 취업에서 손해??ㅋㅋㅋㅋ 대기업신입사원 성비 본 적있냐?? 진짜 기함을 한다 대기업이 이러는데 중소기업은 어쩔거같냐??,1
기사가 남자들 까는글 같은데. 웃기지도 않는군.,1
애비가 변변찮으니까 그리 된 것을 왜 엄마만 찾노?,1
샘물교회 특별법 제정하라 !!!!,1
험난한 길 잘 가실수 있도록 기도하겠습니다. 하나님께서 기뻐하시는 일들을 잘 해내실수 있도록 간절히 기도하겠습니다.,1
도대체 니가 말하는 주류사회가 뭐냐?,1
있었던 사실 그대로 말 하는게 그리도 힘든건가? 그 사실이란게 쉽게 발설할 수 있는게 아니라서?,1
이래서 민주당이 국가보안법 폐지할려고 하는거임,1
어후 댓글은 안보는게 낫겠어요 좋은기사 잘봤습니다,1
뭐냐...반전이냐,1
바구니 과일이 위에는 크고 속에는 작길래.. 이거 왜이래요? 속이지 마셔야지 하니까 아래도 크면 탑이 안 쌓아져요 하길래탑 쌓지 마시라 하고 지나감,1
설교할때 목사님들마스크안씀,1
어떻게든 살려낼테니까..,1
배부르고 등따시니까 저러지 ㅋㅋ,1
으음...이정도면 나도 모르게 항체가 형성됐길 바라는 수밖에....,1
파출소장이라는 줄 알고 > 임원석 < 민원때리려 했는 데 다시 보니 출판소장이였노 후팔 아깝노,1
마스크쓰고 걸었구마. 뭐가 문젠데,1
태국갔을때 게이쇼 본적있다남자라고 가이드가 귀뜸해주기 전까진 진짜 다 여잔줄;,1
친구 사진 모자이크 하고 캡쳐본을 올려달라이기 그래야 상황이 확 보이노,1
진술 조서에 잉크도 마르지 않았는데   누가 유출시킨건지 성역없이 조사해 주세요,1
"자꾸 이슈화 하려 하지 말고, 각자 부르고 싶은 대로 불러~~ 기자가 떠든다고 바뀌는거 아니잖어~~",1
막짤 아휴 진짜,1
ㅋㅋㅋㅋㅋ 놀다가세요 할 때 존나 안스럽네 ㅋㅋㅋㅋ,1
"매예배마다 젖은 눈동자, 뜨거운 목젖.울먹거리는 가슴으로 주님을 찬양하기를 기도합니다. 첫사랑의 감격을 회복하기를 원합니다. 우선은 저부터.. 그리고 한국교회 모두~~",1
그러면서 일베에도 일까들이 있는데 무슨,1
이걸 보다니..,1
깔갈깔깔깔깔~~~,1
바한번갔다오면 오피는 싸게 먹힌거다물론 내얘기는 아님,1
세인트 고재기,1
초등학교이름점,1
더불어 초창기 메르스갤에서 뛰놀던 갓치들아 스타트를 끊어줘서 봊나게 고맙다!!!,1
원바가 뭐냐?,1
건강한 예배 회복을 위해 함께 기도하겠습니다~,1
어려서부터보고 배운 그들만의성문화라서,1
뭐노 나만 안뜨노?,1
졸리 끔찍하네,1
사상이 바로 선 분이네,1
ㅋㅋㅋㅋㅋㅋ유잼예상,1
고스트바둑왕 개꿀잼이었는데,1
표준어가 괜히 표준어냐?,1
김대중기념센터 옆에 새누리당 지부 짓는 거랑 비슷한 꼴임 ㅋㅋㅋㅋㅋㅋㅋㅋ,1
말이 되노?,1
저러니 3만원도 못주고 저러지,1
879 아가씨 패러디 문구노 찾아봐라이니,1
역시 갓순신 하는 이유가 있어외쳐 갓순신,1
이쁜애가 생각도 바르노,1
gta 빙의해서 차로 싹 쓸어버렸으면 좋겠다,1
잡히는 사람들 중에서 유명인이 있는 경우에 그 사람들 성향도 여론 향방에 영향주겠지미투 때는 우파 잡으려고 터트렸는데 좌파들이 많이 걸렸었는데. 이번은 어떨지,1
유대인들 보면 다 답이 나오지 않냐? 세계 문화를 전부 하나님 믿는 민족들인 유태인들이 세상을 바꿨는데 안 믿을 이유가 있냐?,1
보들보들 ㅋㅋ,1
형님이 걱정되네~~,1
적그리스도,1
그래서 홍준연 구의원을 민주당에서 제명시킨게 자한당인가봅니다?,1
아크용접 연습많이해라 이기!그리고 여기 이래해라 저래해라 훈수충논많은데여러가지해보고 너가편한거해라!,1
메갈리아 완전 개념 사이트 아니냐?,1
세상이 변화하고 있는 것 같아 기쁩니다. 변화에 맞추어 한단계 발전된 대한민국이 되었으면 합니다.,1
삼륜안 ㄷㄷㄷㄷ,1
세상에 교회역할이 중요합니다,1
이제훈 콧대 ㅆㅅㅌㅊ네 ㄷㄷ,1
바지로 바꿔도 스스로 핏하게 입을려고 바꿔서 어차피 불편할걸?,1
엄마는 기저귀 갈면 안됨?,1
크어....실화노,1
...? 200..? 2억을 잘못봤나 쓱쓱.. 200... 하.,1
목사가 높은자리? 에구 성경에서는 목사는 장로고 이는 가자낮은자리로 섬기는종이라했는데ᆢ 목사여러분은 어떻게 생각하시나요?,1
이런글 다른사이트에서 봤으면 광고라고 생각했겠지만 웜년들 추천은 믿고본다 이기야^느^,1
돈 안들이고 십수년 떡치다보니 성매매를 왜하는지 몰것다 ㅋㅋ,1
국가가 다르니 있지,1
우리나라는 진짜 살기 겁나 좋은나라입니다. 국뽕이아니고 외국나오면 느끼는거,1
와 ...,1
notepad.exe,1
"회개는 자신과 신의 관계죠. 그리고 자신과 타인의 관계를 정리하지못한 사람이 신과의 관계를 말한다는것은 사깁니다. 예수께서 말씀하셨죠 너희가 예물을 주님께 드리려 하다가 원망들을 만한 일이 생각나는 줄 알거든 먼저 예물을 내려놓고, 형제와 화목하라.",1
재밌는 소설이노,1
102/ 운영자방에서의 제 태도는,1
와잎? 초대나해람마,1
호남대 vs 호서대,1
인권위가 정치적으로 써먹힌다는거아니겟냐 ㅋㅋㅋㅋㅋㅋ 서울시장이면 대선후보로 올라서는자리인데 당시에만 이슈화 잊어질만하니 다시 기사내고 ㅋㅋㅋㅋㅋㅋ,1
486아재들 군대썰만 들으면 평균전투력 71sdw,1
사람들이 좋아하면 흥할테고 아니면 안되겠지. 과연,1
????당연히 주작이지,1
"재기성님 국회의원출마하면 뽑아줄텐데..국회는 저런 강력한 추진력이있는 사람이 들어가야한다.재기갑은 충분히 뱃지달 자격이있음.좀 나와라제발,,",1
태영호의 미성년자 강간 의혹에 대한 진상규명도 곧 이뤄지겠지.,1
보력가자 이기,1
"광광 기밀을 폭로하면 우짜노,",1
대물취급받고 울컥하노 ㅋㅋ,1
난 근데 술맛을 몰라서 비싼술이나 싸구려술이나 다 쓴맛 나서 맛없던데가끔 수면제 용도로 마시긴 하는데 나같은 놈도 외국술 마셔야 하냐?,1
부모들땜에 노키즈존이 생긴겁니다,1
목련꽃이 피었다.,1
쥬지로 입막 가능,1
원래 똥낀놈이 더 화를 내는 법이다.,1
보험금 교환권으로도 사용가능,1
와우내 내가 지금 뭘읽은거노;;;,1
뭐만하면 일재잔재 ㅋㅋ 우리 고유 말이 있었어야 일재 잔재지 근대 문면을 일본이 들여왔는데 당연히 대부분 일본식 단어가 정칙한거지,1
그래서 광주의 혁명 정신이 필요한 것 아니겠냐... 광주 시민들이 일어날 때다.,1
이것들은 뭐만 했다하면 2차가해 래.,1
구구절절 맞는말인데요?,1
너무 기쁜 소식이네요. 감사합니다. 기대됩니다.,1
얘 진짜 무슬림 맞아?,1
정말이지 이 나라가 뭔가를 하긴하는데.. 왜이리 속는 기분일까나 누구를 위한 우쭈쭈우쭈쭈 뒤에  보이지 않는 거대한 재갈장전,1
여자가더 많이 영화보러오는데 차별드립 ㄴㄴ해,1
서검사님..말씀이 옳습니다~,1
나도 바이블은 찢어봤다 부산국제락페스티벌 데쓰메탈 밴드 Deicide공연중 팬중에 한분이 바이블 두쪽으로 찢어서 던지더라 그래서 주워들거 발기발기 찢어서 공중에 뿌렸지,1
ㅋㄱㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄱㅋㅋㅋㅋㅋㅋㅋㅋ,1
세계인구억제정책에 희생당하는 국민들.. 인종주의 남여혐오주의 등등..,1
맞는얘기 했는데 뭐가 문제죠?,1
4학년 되면 술 마시기 시작할 것 같다,1
할거면 그냥 서서치던가 저건 뭔 아크로바틱자세여 ㅋㅋ,1
광광우럭따..ㅠㅠ,1
내가 지금 뭘보고 있는건지 이정도로 썩었다니,1
사상이 문제다.,1
시지사노? 언제사진?,1
6그렇다고해서 그렇게 욕할 필요가 있을까요?9,1
십계명 모르노?,1
역사의 진실을 믿기 어려우면 확인 하세요 !,1
XX염색체는 절대 XY염색체로 바뀌지 않습니다!,1
국제통계결과 20대 한국남성 5명중 1명이 약 6한달에 네번9 성매매에 돈을 쓴다,1
일리가 있네요,1
헐... 아이한테 너무 심한 폭력아닌가요?,1
멋지노 멋지노 요즘 건축쪽 관심 많다이기,1
많이 변해왔다고 생각하노. 재밌게보고있다이기야노.,1
당장실행해야하노. 애초에 유흥탐정과 연계해서 실행햇어야할 프젝이엇노 블루오션이다이기야,1
니들이 능력껏 해야지 싸고 질좋으면 소비자가 찾아간다,1
설 연휴 쉬려고 총파업,1
뜬금없이 ㅈㄴ 웃기네 ㅋㅋㅋ,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ미친,1
프레스랑 잘 어울리나보네 ㄷㄷ,1
스키보드 잘못 타다가 사망할 수도 있냐 내가 겁 많음,1
남자 씨름선수 닮았다.,1
흑마술사는 ㅇㅊ,1
이쯤되면 유영철 재평가 해야 하는거 아니냐,1
으따 슨상님 ..,1
명예훼손 고소 안했냐?,1
기독교 단체에서 채의 내용을 문제 삼아,1
인류멸망에 지름길~,1
이건 좀 자세한 정보가 필요한데??퇴학이 그렇게 쉽나?,1
근데 불교에서는 계란은 어떻게 생각하냐?,1
미국 아시안이 살만하냐?? 인종차별이라든가...,1
NEJM 미국져널,1
ㅋㅋㅋㅋㄱㅋㅇ웃챙이노,1
예배의 감격을 회복하고 주님을 간절히 사모하는 한국교회가 되기를 기도합니다,1
다음 더블타켓인가,1
좋은글인데 사람 사람이랑 이쁘다 좀 수정해라 이쁘다말고 훤하다 관상좋다 등의 대체어를 생활화하자익이,1
도대체 돈이 어디서 나는 거임?,1
근데 왜 엄한 레슬링 사진이노,1
이거 별거아닐꺼같죠? 대답잘못하면 이번 지선도 영향받아요 그러니 조심조심해야함 2030남자들지금 인내심이 폭발직전입니다.,1
개띵문!!!!베스트각,1
회원이 아닌데 그게 그쪽 동영상인지 어떻게 알아?,1
그만좀 나온나,1
쭝궈니와 쭌서기는 앞으로도 이전투구 열심히 하기 바란다.,1
괜히 어슬렁거렸다가는 자기가 화풀이대상될텐데,1
타임즈 떴다~! 글 보고 와라~,1
예배의 감격을 회복하지 못하고 형식적인 예배를 드렸던 저의 모습을 반성하게 되네요 하나님이 기뻐하시는 예배자가 되고 싶습니다,1
"자~! 우리 청소작업부터하지"" kia~ 남다른 포스 누구 같았으면 ""야~! 기분딱좋다"" 이랬을건데 ㅋㅋ",1
국민의 힘이 질 수가 없는 환경이구나. 20대 남자만 들고 일어나는게 아니라 40대 남자들도 들고 일어날 듯..,1
방역을 어떻게 하나..... 무지의 끝판왕,1
다이쥬 센세니뮤,1
대한민국 정치 정말 지저분하다. 순수하고 깨끗하신 분이 저리 되시다니...,1
이미 김정은 일당에게 포섭된 사람이라서 화낼 필요가 없다,1
ㅋㅋㅈㄴ웃기노,1
어릴때 성폭력 경험 기억해보면 딱 저거였노 그야말로얼어붙는현상을 보이노. 눈만떴을뿐 아무생각도못하고 그대로 얼어붙는거노,1
난 머전인데 머전도 본받아라 이기야,1
의사가 기독교였나보다,1
인권침해..참 말이좋다이 그럴꺼면 더 조심하고 다니든가 자긴 인권침해면 그로인해 감염된 사람들은 어쩔,1
MMM지갑이당,1
페라리 향수 쓴다조타,1
일베 논란 예약꼭 성공해라 ㅋㅋ,1
한국교회가 국민에게 꿈과 위로를 주는 역할을 하길바랍니다,1
5. 맞는말하는거,1
잘가라~~,1
후속기사,1
저거 여자가 셀카찍었다는거임? 남자가 올렷다는게아니라?,1
막짤 로동당,1
이야~ 경향 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
조인성 닮았네,1
메갈보쉴드 앙 노무띠,1
오세라비 님 응원합니다.!,1
백퍼 선생 몸매좋고 예쁨,1
첫짤부터 남자사진 보여줘서 끝까지 남자라고 생각들었음담부터 올릴떈수술전 마지막에 올리라 이기야.,1
베트남 아니면 말레이시아,1
어렸을떄부터 덩치가 남달랐나보네,1
서울시 교육청 학생인권 종합계획 재고해 주세요.,1
작년 10월에 바이러스 시뮬레이션 왜 했는지 부터가 궁금하다. 아직 바이러스 알려지지도 않았을 때인데 말야.,1
